,molecule,bond_index,bond_type,fragment1,fragment2,delta_assigned_stereo,delta_unassigned_stereo,BDE,predicted,is_metab_site,mol_id
16,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,32,C-H,[H],CC12[CH]CC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,0,0,95.72,96.75591999999999,False,1062
17,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,34,C-H,[H],CC12C[CH]C(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,0,0,90.69,90.769806,False,1062
18,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,36,C-H,[H],CC12CCC(=O)[C]=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,0,0,,,False,1062
19,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,37,C-H,[H],CC12CCC(=O)C=C1[CH]CC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,0,0,80.64,83.58075,True,1062
20,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,39,C-H,[H],CC12CCC(=O)C=C1C[CH]C1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,0,0,95.6,96.72001999999999,False,1062
21,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,41,C-H,[H],CC12CCC(=O)C=C1CC[C]1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,0,-1,,,False,1062
22,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,42,C-H,[H],CC12CCC(=O)C=C1CCC1[C]2C(O)CC2(C)C1CCC2(O)C(=O)CO,0,-1,94.13,97.91794,False,1062
23,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,43,C-H,[H],CC12CCC(=O)C=C1CCC1C2[C](O)CC2(C)C1CCC2(O)C(=O)CO,0,-1,90.21,93.05533,False,1062
24,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,45,C-H,[H],CC12CCC(=O)C=C1CCC1C2C(O)[CH]C2(C)C1CCC2(O)C(=O)CO,0,0,96.4,97.82179000000001,False,1062
25,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,47,C-H,[H],[CH2]C12CC(O)C3C(CCC4=CC(=O)CCC43C)C1CCC2(O)C(=O)CO,0,0,97.74,99.92824,False,1062
26,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,50,C-H,[H],CC12CCC(=O)C=C1CCC1[C]3CCC(O)(C(=O)CO)C3(C)CC(O)C12,0,-1,,,False,1062
27,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,51,C-H,[H],CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1[CH]CC2(O)C(=O)CO,0,0,93.35,98.54146999999999,False,1062
28,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,53,C-H,[H],CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1C[CH]C2(O)C(=O)CO,0,0,,98.52548,False,1062
29,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,56,C-H,[H],CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)[CH]O,0,0,,76.83188,False,1062
30,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=CC(C)C(CC[C@H]3C[C@H](O)CC(=O)O3)C21,31,C-H,[H],[CH2]C[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=CC(C)C(CC[C@H]3C[C@H](O)CC(=O)O3)C21,0,0,98.72,100.30659,False,1038
31,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=CC(C)C(CC[C@H]3C[C@H](O)CC(=O)O3)C21,34,C-H,[H],C[CH][C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=CC(C)C(CC[C@H]3C[C@H](O)CC(=O)O3)C21,0,0,96.65,97.75751,False,1038
32,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=CC(C)C(CC[C@H]3C[C@H](O)CC(=O)O3)C21,36,C-H,[H],CC[C](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=CC(C)C(CC[C@H]3C[C@H](O)CC(=O)O3)C21,-1,0,88.25,91.6244,False,1038
33,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=CC(C)C(CC[C@H]3C[C@H](O)CC(=O)O3)C21,37,C-H,[H],[CH2][C@@H](CC)C(=O)O[C@H]1C[C@@H](C)C=C2C=CC(C)C(CC[C@H]3C[C@H](O)CC(=O)O3)C21,0,0,,,False,1038
34,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=CC(C)C(CC[C@H]3C[C@H](O)CC(=O)O3)C21,40,C-H,[H],CC[C@H](C)C(=O)O[C]1C[C@@H](C)C=C2C=CC(C)C(CC[C@H]3C[C@H](O)CC(=O)O3)C12,-1,0,97.15,97.03489,False,1038
35,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=CC(C)C(CC[C@H]3C[C@H](O)CC(=O)O3)C21,41,C-H,[H],CC[C@H](C)C(=O)O[C@H]1[CH][C@@H](C)C=C2C=CC(C)C(CC[C@H]3C[C@H](O)CC(=O)O3)C21,0,0,,,False,1038
36,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=CC(C)C(CC[C@H]3C[C@H](O)CC(=O)O3)C21,43,C-H,[H],CC[C@H](C)C(=O)O[C@H]1C[C](C)C=C2C=CC(C)C(CC[C@H]3C[C@H](O)CC(=O)O3)C21,-1,0,73.63,78.65047,True,1038
37,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=CC(C)C(CC[C@H]3C[C@H](O)CC(=O)O3)C21,44,C-H,[H],[CH2][C@H]1C=C2C=CC(C)C(CC[C@H]3C[C@H](O)CC(=O)O3)C2[C@@H](OC(=O)[C@@H](C)CC)C1,0,0,,,False,1038
38,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=CC(C)C(CC[C@H]3C[C@H](O)CC(=O)O3)C21,47,C-H,[H],CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)[C]=C2C=CC(C)C(CC[C@H]3C[C@H](O)CC(=O)O3)C21,0,0,108.62,109.36153,False,1038
39,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=CC(C)C(CC[C@H]3C[C@H](O)CC(=O)O3)C21,48,C-H,[H],CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2[C]=CC(C)C(CC[C@H]3C[C@H](O)CC(=O)O3)C21,0,0,,,False,1038
40,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=CC(C)C(CC[C@H]3C[C@H](O)CC(=O)O3)C21,49,C-H,[H],CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=[C]C(C)C(CC[C@H]3C[C@H](O)CC(=O)O3)C21,0,0,108.6,108.89124,False,1038
41,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=CC(C)C(CC[C@H]3C[C@H](O)CC(=O)O3)C21,50,C-H,[H],CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C](C)C(CC[C@H]3C[C@H](O)CC(=O)O3)C21,0,-1,77.09,78.048645,False,1038
42,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=CC(C)C(CC[C@H]3C[C@H](O)CC(=O)O3)C21,51,C-H,[H],[CH2]C1C=CC2=C[C@H](C)C[C@H](OC(=O)[C@@H](C)CC)C2C1CC[C@H]1C[C@H](O)CC(=O)O1,0,0,,,False,1038
43,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=CC(C)C(CC[C@H]3C[C@H](O)CC(=O)O3)C21,54,C-H,[H],CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=CC(C)[C](CC[C@H]3C[C@H](O)CC(=O)O3)C21,0,-1,96.39,97.27069,False,1038
44,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=CC(C)C(CC[C@H]3C[C@H](O)CC(=O)O3)C21,55,C-H,[H],CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=CC(C)C([CH]C[C@H]3C[C@H](O)CC(=O)O3)C21,0,0,93.5,96.03406,False,1038
45,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=CC(C)C(CC[C@H]3C[C@H](O)CC(=O)O3)C21,57,C-H,[H],CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=CC(C)C(C[CH][C@H]3C[C@H](O)CC(=O)O3)C21,0,0,97.15,98.11299,False,1038
46,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=CC(C)C(CC[C@H]3C[C@H](O)CC(=O)O3)C21,59,C-H,[H],CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=CC(C)C(CC[C]3C[C@H](O)CC(=O)O3)C21,-1,0,,,False,1038
47,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=CC(C)C(CC[C@H]3C[C@H](O)CC(=O)O3)C21,60,C-H,[H],CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=CC(C)C(CC[C@H]3[CH][C@H](O)CC(=O)O3)C21,0,0,98.04,99.66595500000001,False,1038
48,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=CC(C)C(CC[C@H]3C[C@H](O)CC(=O)O3)C21,62,C-H,[H],CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=CC(C)C(CC[C@H]3C[C](O)CC(=O)O3)C21,-1,0,,,False,1038
49,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=CC(C)C(CC[C@H]3C[C@H](O)CC(=O)O3)C21,64,C-H,[H],CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=CC(C)C(CC[C@H]3C[C@H](O)[CH]C(=O)O3)C21,0,0,,,False,1038
50,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=CC(C)C(CC[C@H]3C[C@H](O)CC(=O)O3)C21,66,C-H,[H],CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=CC(C)C(CC[C@H]3C[C@H](O)CC(=O)O3)[C]21,0,-1,83.96,92.42452,False,1038
51,C=C[C@H]1CN2CCC1CC2[C@@H](O)c1ccnc2ccc(OC)cc12,27,C-H,[H],[CH]=C[C@H]1CN2CCC1CC2[C@@H](O)c1ccnc2ccc(OC)cc12,0,0,109.55,108.88018999999998,False,1104
52,C=C[C@H]1CN2CCC1CC2[C@@H](O)c1ccnc2ccc(OC)cc12,29,C-H,[H],C=[C][C@H]1CN2CCC1CC2[C@@H](O)c1ccnc2ccc(OC)cc12,0,0,104.96,105.63042,False,1104
53,C=C[C@H]1CN2CCC1CC2[C@@H](O)c1ccnc2ccc(OC)cc12,30,C-H,[H],C=C[C]1CN2CCC1CC2[C@@H](O)c1ccnc2ccc(OC)cc12,-1,0,80.19,89.28783,True,1104
54,C=C[C@H]1CN2CCC1CC2[C@@H](O)c1ccnc2ccc(OC)cc12,31,C-H,[H],C=C[C@H]1[CH]N2CCC1CC2[C@@H](O)c1ccnc2ccc(OC)cc12,0,0,95.99,95.90214499999999,False,1104
55,C=C[C@H]1CN2CCC1CC2[C@@H](O)c1ccnc2ccc(OC)cc12,33,C-H,[H],C=C[C@H]1CN2[CH]CC1CC2[C@@H](O)c1ccnc2ccc(OC)cc12,0,0,93.14,93.505684,False,1104
56,C=C[C@H]1CN2CCC1CC2[C@@H](O)c1ccnc2ccc(OC)cc12,35,C-H,[H],C=C[C@H]1CN2C[CH]C1CC2[C@@H](O)c1ccnc2ccc(OC)cc12,0,0,96.43,97.41632,False,1104
57,C=C[C@H]1CN2CCC1CC2[C@@H](O)c1ccnc2ccc(OC)cc12,37,C-H,[H],C=C[C@H]1CN2CC[C]1CC2[C@@H](O)c1ccnc2ccc(OC)cc12,0,-1,98.8,99.134,False,1104
58,C=C[C@H]1CN2CCC1CC2[C@@H](O)c1ccnc2ccc(OC)cc12,38,C-H,[H],C=C[C@H]1CN2CCC1[CH]C2[C@@H](O)c1ccnc2ccc(OC)cc12,0,0,95.81,97.80084000000001,False,1104
59,C=C[C@H]1CN2CCC1CC2[C@@H](O)c1ccnc2ccc(OC)cc12,40,C-H,[H],C=C[C@H]1CN2CCC1C[C]2[C@@H](O)c1ccnc2ccc(OC)cc12,0,-1,90.78,91.21587,False,1104
60,C=C[C@H]1CN2CCC1CC2[C@@H](O)c1ccnc2ccc(OC)cc12,41,C-H,[H],C=C[C@H]1CN2CCC1CC2[C](O)c1ccnc2ccc(OC)cc12,-1,0,77.93,84.64111,False,1104
61,C=C[C@H]1CN2CCC1CC2[C@@H](O)c1ccnc2ccc(OC)cc12,43,C-H,[H],C=C[C@H]1CN2CCC1CC2[C@@H](O)c1[c]cnc2ccc(OC)cc12,0,0,112.81,112.515045,False,1104
62,C=C[C@H]1CN2CCC1CC2[C@@H](O)c1ccnc2ccc(OC)cc12,44,C-H,[H],C=C[C@H]1CN2CCC1CC2[C@@H](O)c1c[c]nc2ccc(OC)cc12,0,0,,,False,1104
63,C=C[C@H]1CN2CCC1CC2[C@@H](O)c1ccnc2ccc(OC)cc12,45,C-H,[H],C=C[C@H]1CN2CCC1CC2[C@@H](O)c1ccnc2[c]cc(OC)cc12,0,0,112.99,112.871605,False,1104
64,C=C[C@H]1CN2CCC1CC2[C@@H](O)c1ccnc2ccc(OC)cc12,46,C-H,[H],C=C[C@H]1CN2CCC1CC2[C@@H](O)c1ccnc2c[c]c(OC)cc12,0,0,110.23,112.7288,False,1104
65,C=C[C@H]1CN2CCC1CC2[C@@H](O)c1ccnc2ccc(OC)cc12,47,C-H,[H],[CH2]Oc1ccc2nccc([C@H](O)C3CC4CCN3C[C@@H]4C=C)c2c1,0,0,,96.444,False,1104
66,C=C[C@H]1CN2CCC1CC2[C@@H](O)c1ccnc2ccc(OC)cc12,50,C-H,[H],C=C[C@H]1CN2CCC1CC2[C@@H](O)c1ccnc2ccc(OC)[c]c12,0,0,111.19,112.21298999999999,False,1104
67,CN(C)CCCN1c2ccccc2CCc2ccccc21,23,C-H,[H],[CH2]N(C)CCCN1c2ccccc2CCc2ccccc21,0,0,91.65,91.54951,False,1080
68,CN(C)CCCN1c2ccccc2CCc2ccccc21,29,C-H,[H],CN(C)[CH]CCN1c2ccccc2CCc2ccccc21,0,0,91.35,90.619385,False,1080
69,CN(C)CCCN1c2ccccc2CCc2ccccc21,31,C-H,[H],CN(C)C[CH]CN1c2ccccc2CCc2ccccc21,0,0,96.05,97.92756,False,1080
70,CN(C)CCCN1c2ccccc2CCc2ccccc21,33,C-H,[H],CN(C)CC[CH]N1c2ccccc2CCc2ccccc21,0,0,,,False,1080
71,CN(C)CCCN1c2ccccc2CCc2ccccc21,35,C-H,[H],CN(C)CCCN1c2[c]cccc2CCc2ccccc21,0,0,110.85,110.65648,False,1080
72,CN(C)CCCN1c2ccccc2CCc2ccccc21,36,C-H,[H],CN(C)CCCN1c2c[c]ccc2CCc2ccccc21,0,0,110.82,111.10269,False,1080
73,CN(C)CCCN1c2ccccc2CCc2ccccc21,37,C-H,[H],CN(C)CCCN1c2cc[c]cc2CCc2ccccc21,0,0,111.42,111.988106,False,1080
74,CN(C)CCCN1c2ccccc2CCc2ccccc21,38,C-H,[H],CN(C)CCCN1c2ccc[c]c2CCc2ccccc21,0,0,110.72,110.99271,False,1080
75,CN(C)CCCN1c2ccccc2CCc2ccccc21,39,C-H,[H],CN(C)CCCN1c2ccccc2[CH]Cc2ccccc21,0,0,85.13,86.02761,True,1080
76,COc1ccc(OC)c(C(O)C(C)N)c1,15,C-H,[H],[CH2]Oc1ccc(OC)c(C(O)C(C)N)c1,0,0,96.25,96.51373000000001,False,1102
77,COc1ccc(OC)c(C(O)C(C)N)c1,18,C-H,[H],COc1[c]cc(OC)c(C(O)C(C)N)c1,0,0,113.14,113.32511000000001,False,1102
78,COc1ccc(OC)c(C(O)C(C)N)c1,19,C-H,[H],COc1c[c]c(OC)c(C(O)C(C)N)c1,0,0,110.36,110.69116000000001,False,1102
79,COc1ccc(OC)c(C(O)C(C)N)c1,20,C-H,[H],[CH2]Oc1ccc(OC)cc1C(O)C(C)N,0,0,95.98,96.57648,False,1102
80,COc1ccc(OC)c(C(O)C(C)N)c1,23,C-H,[H],COc1ccc(OC)c([C](O)C(C)N)c1,0,-1,83.02,81.85656,True,1102
81,COc1ccc(OC)c(C(O)C(C)N)c1,25,C-H,[H],COc1ccc(OC)c(C(O)[C](C)N)c1,0,-1,92.52,90.94136999999999,False,1102
82,COc1ccc(OC)c(C(O)C(C)N)c1,26,C-H,[H],[CH2]C(N)C(O)c1cc(OC)ccc1OC,0,0,100.54,101.20111,False,1102
83,COc1ccc(OC)c(C(O)C(C)N)c1,31,C-H,[H],COc1[c]c(C(O)C(C)N)c(OC)cc1,0,0,111.61,113.02566999999999,False,1102
84,Cn1c(=O)c2c(ncn2C)n(C)c1=O,15,C-H,[H],[CH2]n1c(=O)c2c(ncn2C)n(C)c1=O,0,0,103.71,95.49589499999999,False,1089
85,Cn1c(=O)c2c(ncn2C)n(C)c1=O,18,C-H,[H],Cn1c(=O)c2c(n[c]n2C)n(C)c1=O,0,0,116.58,116.24893,False,1089
86,Cn1c(=O)c2c(ncn2C)n(C)c1=O,19,C-H,[H],[CH2]n1cnc2c1c(=O)n(C)c(=O)n2C,0,0,94.15,92.636154,True,1089
87,Cn1c(=O)c2c(ncn2C)n(C)c1=O,22,C-H,[H],[CH2]n1c(=O)n(C)c(=O)c2c1ncn2C,0,0,94.44,95.35365,False,1089
88,CCN(CC)CC(=O)Nc1c(C)cccc1C,17,C-H,[H],[CH2]CN(CC)CC(=O)Nc1c(C)cccc1C,0,0,99.35,99.49213,False,1086
89,CCN(CC)CC(=O)Nc1c(C)cccc1C,20,C-H,[H],C[CH]N(CC)CC(=O)Nc1c(C)cccc1C,0,0,91.64,91.60231,False,1086
90,CCN(CC)CC(=O)Nc1c(C)cccc1C,27,C-H,[H],CCN([CH]C(=O)Nc1c(C)cccc1C)CC,0,0,87.2,90.95838,False,1086
91,CCN(CC)CC(=O)Nc1c(C)cccc1C,30,C-H,[H],[CH2]c1cccc(C)c1NC(=O)CN(CC)CC,0,0,89.98,90.40771,True,1086
92,CCN(CC)CC(=O)Nc1c(C)cccc1C,33,C-H,[H],CCN(CC)CC(=O)Nc1c(C)[c]ccc1C,0,0,111.04,110.83058,False,1086
93,CCN(CC)CC(=O)Nc1c(C)cccc1C,34,C-H,[H],CCN(CC)CC(=O)Nc1c(C)c[c]cc1C,0,0,111.16,111.54727,False,1086
94,CC(=O)Oc1ccccc1C(=O)O,13,C-H,[H],[CH2]C(=O)Oc1ccccc1C(=O)O,0,0,97.86,97.182686,True,1092
95,CC(=O)Oc1ccccc1C(=O)O,16,C-H,[H],CC(=O)Oc1[c]cccc1C(=O)O,0,0,113.58,112.27096599999999,False,1092
96,CC(=O)Oc1ccccc1C(=O)O,17,C-H,[H],CC(=O)Oc1c[c]ccc1C(=O)O,0,0,111.27,111.50245,False,1092
97,CC(=O)Oc1ccccc1C(=O)O,18,C-H,[H],CC(=O)Oc1cc[c]cc1C(=O)O,0,0,,113.14018,False,1092
98,CC(=O)Oc1ccccc1C(=O)O,19,C-H,[H],CC(=O)Oc1ccc[c]c1C(=O)O,0,0,111.67,110.75558500000001,False,1092
99,COc1ccc2c(c1)[C@]13CCCC[C@@H]1[C@H](C2)N(C)CC3,23,C-H,[H],[CH2]Oc1ccc2c(c1)[C@]13CCCC[C@@H]1[C@H](C2)N(C)CC3,0,0,,,False,1069
100,COc1ccc2c(c1)[C@]13CCCC[C@@H]1[C@H](C2)N(C)CC3,26,C-H,[H],COc1[c]cc2c(c1)[C@]13CCCC[C@@H]1[C@H](C2)N(C)CC3,0,0,110.84,112.961395,False,1069
101,COc1ccc2c(c1)[C@]13CCCC[C@@H]1[C@H](C2)N(C)CC3,27,C-H,[H],COc1c[c]c2c(c1)[C@]13CCCC[C@@H]1[C@H](C2)N(C)CC3,0,0,110.31,111.17946,False,1069
102,COc1ccc2c(c1)[C@]13CCCC[C@@H]1[C@H](C2)N(C)CC3,28,C-H,[H],COc1[c]c2c(cc1)C[C@H]1[C@H]3CCCC[C@@]23CCN1C,0,0,110.92,111.31038000000001,False,1069
103,COc1ccc2c(c1)[C@]13CCCC[C@@H]1[C@H](C2)N(C)CC3,29,C-H,[H],COc1ccc2c(c1)[C@]13[CH]CCC[C@@H]1[C@H](C2)N(C)CC3,0,0,96.9,96.85037,False,1069
104,COc1ccc2c(c1)[C@]13CCCC[C@@H]1[C@H](C2)N(C)CC3,31,C-H,[H],COc1ccc2c(c1)[C@]13C[CH]CC[C@@H]1[C@H](C2)N(C)CC3,0,0,,,False,1069
105,COc1ccc2c(c1)[C@]13CCCC[C@@H]1[C@H](C2)N(C)CC3,33,C-H,[H],COc1ccc2c(c1)[C@]13CC[CH]C[C@@H]1[C@H](C2)N(C)CC3,0,0,97.57,97.35112,False,1069
106,COc1ccc2c(c1)[C@]13CCCC[C@@H]1[C@H](C2)N(C)CC3,35,C-H,[H],COc1ccc2c(c1)[C@]13CCC[CH][C@@H]1[C@H](C2)N(C)CC3,0,0,96.9,96.4977,False,1069
107,COc1ccc2c(c1)[C@]13CCCC[C@@H]1[C@H](C2)N(C)CC3,37,C-H,[H],COc1ccc2c(c1)[C@]13CCCC[C]1[C@H](C2)N(C)CC3,-1,0,98.44,95.36803,False,1069
108,COc1ccc2c(c1)[C@]13CCCC[C@@H]1[C@H](C2)N(C)CC3,38,C-H,[H],COc1ccc2c(c1)[C@]13CCCC[C@@H]1[C](C2)N(C)CC3,-1,0,96.63,93.87546,False,1069
109,COc1ccc2c(c1)[C@]13CCCC[C@@H]1[C@H](C2)N(C)CC3,39,C-H,[H],COc1ccc2c(c1)[C@]13CCCC[C@@H]1[C@H]([CH]2)N(C)CC3,0,0,85.01,87.44281,True,1069
110,COc1ccc2c(c1)[C@]13CCCC[C@@H]1[C@H](C2)N(C)CC3,41,C-H,[H],[CH2]N1CC[C@@]23CCCC[C@@H]2[C@@H]1Cc1ccc(OC)cc13,0,0,89.78,90.747345,False,1069
111,COc1ccc2c(c1)[C@]13CCCC[C@@H]1[C@H](C2)N(C)CC3,44,C-H,[H],COc1ccc2c(c1)[C@@]13C[CH]N(C)[C@@H](C2)[C@H]1CCCC3,0,0,89.53,89.88185,False,1069
112,COc1ccc2c(c1)[C@]13CCCC[C@@H]1[C@H](C2)N(C)CC3,46,C-H,[H],COc1ccc2c(c1)[C@@]13[CH]CN(C)[C@@H](C2)[C@H]1CCCC3,0,0,98.64,97.172455,False,1069
113,CCCC(CCC)C(=O)O,9,C-H,[H],[CH2]CCC(CCC)C(=O)O,0,1,100.31,99.80931,False,1012
114,CCCC(CCC)C(=O)O,12,C-H,[H],C[CH]CC(CCC)C(=O)O,0,1,96.89,97.11688000000001,True,1012
115,CCCC(CCC)C(=O)O,14,C-H,[H],CC[CH]C(CCC)C(=O)O,0,1,97.51,97.542465,False,1012
116,CCCC(CCC)C(=O)O,16,C-H,[H],CCC[C](CCC)C(=O)O,0,0,88.36,88.15845999999999,False,1012
117,CCOC(N)=O,5,C-H,[H],[CH2]COC(N)=O,0,0,102.04,101.530754,True,1022
118,CCOC(N)=O,8,C-H,[H],C[CH]OC(N)=O,0,0,96.74,95.97695,False,1022
119,CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1,28,C-H,[H],[CH2]COC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1,0,0,101.26,101.49799,False,1082
120,CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1,31,C-H,[H],C[CH]OC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1,0,0,98.44,95.71263,False,1082
